Date,Region,Manufacturer,Measure,Frequency,Value,DateLabel,DateKey
2023-02-28,European Union (EU),Kia,YTD,M,34919,2023-02,1677542400000
2023-02-28,European Union (EU),Lancia/Chrysler,TTM,M,2465,2023-02,1677542400000
2023-02-28,European Union (EU),Lancia/Chrysler,UNITS,M,2465,2023-02,1677542400000
2023-02-28,European Union (EU),Lancia/Chrysler,YTD,M,2465,2023-02,1677542400000
2023-02-28,European Union (EU),Land Rover,TTM,M,4198,2023-02,1677542400000
2023-02-28,European Union (EU),Land Rover,UNITS,M,4198,2023-02,1677542400000
2023-02-28,European Union (EU),Land Rover,YTD,M,4198,2023-02,1677542400000
2023-02-28,European Union (EU),Lexus,TTM,M,2539,2023-02,1677542400000
2023-02-28,European Union (EU),Lexus,UNITS,M,2539,2023-02,1677542400000
2023-02-28,European Union (EU),Lexus,YTD,M,2539,2023-02,1677542400000
2023-02-28,European Union (EU),Mazda,TTM,M,10976,2023-02,1677542400000
2023-02-28,European Union (EU),Mazda,UNITS,M,10976,2023-02,1677542400000
2023-02-28,European Union (EU),Mazda,YTD,M,10976,2023-02,1677542400000
2023-02-28,European Union (EU),Mercedes,TTM,M,44690,2023-02,1677542400000
2023-02-28,European Union (EU),Mercedes,UNITS,M,44690,2023-02,1677542400000
2023-02-28,European Union (EU),Mercedes,YTD,M,44690,2023-02,1677542400000
2023-02-28,European Union (EU),Mercedes-Benz,TTM,M,46122,2023-02,1677542400000
2023-02-28,European Union (EU),Mercedes-Benz,UNITS,M,46122,2023-02,1677542400000
2023-02-28,European Union (EU),Mercedes-Benz,YTD,M,46122,2023-02,1677542400000
2023-02-28,European Union (EU),Mini,TTM,M,9868,2023-02,1677542400000
2023-02-28,European Union (EU),Mini,UNITS,M,9868,2023-02,1677542400000
2023-02-28,European Union (EU),Mini,YTD,M,9868,2023-02,1677542400000
2023-02-28,European Union (EU),Mitsubishi,TTM,M,2303,2023-02,1677542400000
2023-02-28,European Union (EU),Mitsubishi,UNITS,M,2303,2023-02,1677542400000
2023-02-28,European Union (EU),Mitsubishi,YTD,M,2303,2023-02,1677542400000
2023-02-28,European Union (EU),Nissan,TTM,M,15841,2023-02,1677542400000
2023-02-28,European Union (EU),Nissan,UNITS,M,15841,2023-02,1677542400000
2023-02-28,European Union (EU),Nissan,YTD,M,15841,2023-02,1677542400000
2023-02-28,European Union (EU),Opel/Vauxhall,TTM,M,27911,2023-02,1677542400000
